ID	Taxon	String_len	hybrid_marker_Loc	Rank
537018	Pinus_x_rigitaeda_S.K.Hyun_&_Ahn	6	1	species
410702	Pinus_pseudostrobus_x_Pinus_montezumae	5	2	species
536984	Pinus_rigida_x_Pinus_x_rigitaeda	6	2	species
1255764	Pinus_brutia_x_Pinus_halepensis	5	2	species
1525127	Pinus_rigida_x_Pinus_taeda	5	2	species
1690236	Pinus_sibirica_x_Pinus_pumila	5	2	species
2107571	Pinus_strobus_x_Pinus_wallichiana	5	2	species
49226	Larix_x_eurolepis_A.Henry	4	1	species
293062	Larix_gmelinii_var._olgensis_x_Larix_kaempferi	7	4	species
2107572	Larix_x_maritima_Sukaczev_1931	5	1	species
487034	Picea_x_lutzii_Little	4	1	species
281396	Picea_mariana_x_Picea_rubens	5	2	species
273280	Picea_engelmannii_x_Picea_sitchensis	5	2	species
373101	Picea_engelmannii_x_Picea_glauca	5	2	species
1497110	Picea_glauca_x_P._engelmannii_x_P._sitchensis	8	2	species
1969531	Picea_x_notha_Rehder_1939	5	1	species
85957	Taxus_x_media_Rehder	4	1	species
156272	Taxus_x_hunnewelliana_Rehder	4	1	species
1536469	x_Hesperotropsis	2	0	genus
933502	x_Cuprocyparis_leylandii_(A.B.Jacks._&_Dallim.)_Farjon	7	0	species
332955	Juniperus_communis_x_Juniperus_nana	5	2	species
761741	Cupressus_austrotibetica_x_Cupressus_cashmeriana	5	2	species
187465	Chamaecyparis_obtusa_x_Chamaecyparis_pisifera	5	2	species
1169422	Dacrydium_x_suprinii	3	1	species
1935952	Cycas_x_multifrondis_D.Yue_Wang	5	1	species
1238157	Encephalartos_natalensis_x_Encephalartos_woodii	5	2	species
466850	Encephalartos_horridus_x_Encephalartos_longifolius	5	2	species
1848926	Encephalartos_paucidentatus_x_Encephalartos_heenanii	5	2	species
1216051	Macrozamia_lucida_x_Macrozamia_macleayi	5	2	species
1216047	Macrozamia_longispina_x_Macrozamia_macleayi	5	2	species
702090	Persea_schiedeana_x_Persea_americana_'guatemalensis'	6	2	species
169284	Annona_x_atemoya	3	1	species
690724	Asimina_x_nashii_Kral	4	1	species
2078679	Asimina_incana_x_Asimina_pygmaea	5	2	species
2078680	Asimina_pygmaea_x_Asimina_incana	5	2	species
2078678	Asimina_incana_x_Asimina_angustifolia	5	2	species
1010619	Magnolia_alba_x_Magnolia_champaca	5	2	species
1010618	Magnolia_baillonii_x_Magnolia_champaca	5	2	species
573529	Magnolia_x_veitchii	3	1	species
3407	Magnolia_x_soulangeana	3	1	species
1185388	Magnolia_x_loebneri_Kache	4	1	species
215539	Liriodendron_chinense_x_Liriodendron_tulipifera	5	2	species
248861	Meconopsis_x_cookei	3	1	species
248863	Meconopsis_x_sheldonii_G.Taylor	4	1	species
1095259	Epimedium_franchetii_x_Epimedium_sutchuenense	5	2	species
1112795	Berberis_integerrima_x_Berberis_vulgaris	5	2	species
1628429	Berberis_x_ottawensis	3	1	species
1351823	Akebia_x_pentaphylla	3	1	species
1485953	Aquilegia_japonica_x_Aquilegia_oxysepala	5	2	species
1886609	Aquilegia_coerulea_x_Aquilegia_chrysantha	5	2	species
1506454	Aquilegia_aradanica_x_Aquilegia_sibirica	5	2	species
1264563	Thalictrum_x_karuizawaense	3	1	species
1406308	Helleborus_x_hybridus_hort._ex_Voss	6	1	species
667023	Ranunculus_carpaticola_x_Ranunculus_cassubicifolius	5	2	species
2044280	Ranunculus_aquatilis_x_Ranunculus_peltatus	5	2	species
1181294	Ranunculus_x_luizetii	3	1	species
1529054	Ranunculus_carpaticola_x_Ranunculus_notabilis	5	2	species
1529055	Ranunculus_cassubicifolius_x_Ranunculus_notabilis	5	2	species
2044282	Ranunculus_fluitans_x_Ranunculus_circinatus	5	2	species
2044283	Ranunculus_fluitans_x_Ranunculus_peltatus	5	2	species
1181295	Ranunculus_x_peredae_M.Lainz	4	1	species
2044284	Ranunculus_fluitans_x_Ranunculus_penicillatus	5	2	species
2044281	Ranunculus_fluitans_x_Ranunculus_baudotii	5	2	species
568509	Coptidium_x_spitsbergense_(Hadec)_Elven	5	1	species
1985965	Eranthis_x_tubergenii	3	1	species
1496665	Aconitum_x_czarnohorense_(Zapal.)_Mitka	5	1	species
1496664	Aconitum_x_berdaui_Zapal.	4	1	species
1496667	Aconitum_x_pawlowskii	3	1	species
1496666	Aconitum_x_hebegynum_DC.	4	1	species
176325	Delphinium_x_occidentale	3	1	species
167996	Anemone_nemorosa_x_Anemone_ranunculoides	5	2	species
1406309	Clematis_marmoraria_x_Clematis_paniculata	5	2	species
1054459	Pulsatilla_cernua_x_Pulsatilla_dahurica	5	2	species
1961257	Persoonia_x_lucida	3	1	species
1130976	Protea_compacta_x_Protea_neriifolia	5	2	species
1093171	Protea_eximia_x_Protea_susannae	5	2	species
140101	Platanus_x_acerifolia_(Aiton)_Willd.	5	1	species
89340	Armeria_villosa_subsp._longiaristata_x_Armeria_colorata	7	4	species
218595	Armeria_x_salmantica	3	1	species
676045	Armeria_pubigera_x_Armeria_pungens	5	2	species
2420316	Limonium_ovalifolium_x_Limonium_nydeggeri	5	2	species
2420314	Limonium_binervosum_x_Limonium_nydeggeri	5	2	species
2420315	Limonium_dodartii_x_Limonium_nydeggeri	5	2	species
580463	Aconogonon_x_fennicum_Reiersen	4	1	species
1612556	Atraphaxis_frutescens_x_Atraphaxis_pungens	5	2	species
1612555	Atraphaxis_bracteata_x_Atraphaxis_virgata	5	2	species
1612553	Atraphaxis_bracteata_x_Atraphaxis_frutescens	5	2	species
1612554	Atraphaxis_bracteata_x_Atraphaxis_pungens	5	2	species
1612557	Atraphaxis_pyrifolia_x_Atraphaxis_seravschanica	5	2	species
429719	Reynoutria_x_bohemica	3	1	species
701429	Polygonum_arenastrum_x_Polygonum_patulum	5	2	species
701428	Polygonum_achoreum_x_Polygonum_arenastrum	5	2	species
644190	Rumex_x_pratensis	3	1	species
407839	Nepenthes_x_henryana	3	1	species
1610511	Nepenthes_x_hookeriana	3	1	species
1610510	Nepenthes_x_harryana_Burb.	4	1	species
1744888	Nepenthes_ventricosa_x_Nepenthes_alata	5	2	species
1610512	Nepenthes_x_kinabaluensis_Sh.Kurata_ex_J.H.Adam_&_Wilcock	8	1	species
2099724	Nepenthes_alata_x_Nepenthes_ventricosa	5	2	species
2203080	Nepenthes_maxima_x_Nepenthes_fusca	5	2	species
407840	Nepenthes_x_intermedia_hort._ex_H.J.Veitch	6	1	species
1458531	Amaranthus_cruentus_x_Amaranthus_hybridus	5	2	species
194672	Amaranthus_palmeri_x_Amaranthus_rudis	5	2	species
1548797	Ptilotus_exaltatus_var._semilanatus_x_Ptilotus_nobilis	7	4	species
1738667	Salicornia_pillansii_x_Salicornia_natalensis	5	2	species
1738669	Salicornia_tegetaria_x_Salicornia_pillansii	5	2	species
1738668	Salicornia_tegetaria_x_Salicornia_natalensis	5	2	species
1738665	Salicornia_pillansii_x_Salicornia_tegetaria	5	2	species
1943629	Salicornia_natalensis_x_Salicornia_tegetaria	5	2	species
1738666	Salicornia_pillansii_x_Salicornia_mossiana	5	2	species
329753	Salicornia_x_marshallii_(Lambinon_&_Vanderp.)_Stace_2015	8	1	species
1918717	Atriplex_prostrata_x_Atriplex_rosea	5	2	species
328062	Bougainvillea_x_buttiana_Holttum_&_Standl.	6	1	species
1488198	Silene_diclinis_x_Silene_latifolia	5	2	species
1982522	Atocion_lituanicum_x_Atocion_armeria	5	2	species
1045993	Schiedea_menziesii_x_Schiedea_salicaria	5	2	species
2485485	Dianthus_versicolor_x_Dianthus_superbus	5	2	species
2583420	Dianthus_superbus_x_Dianthus_versicolor	5	2	species
1631358	Dianthus_arenarius_subsp._bohemicus_x_Dianthus_carthusianorum	7	4	species
1857567	Saponaria_x_olivana	3	1	species
288949	Saponaria_x_lempergii	3	1	species
509915	Cerastium_nigrescens_x_Cerastium_alpinum	5	2	species
2038340	Pseudostellaria_davidii_x_Pseudostellaria_palibiniana	5	2	species
2485786	Echinocactus_horizonthalonius_x_Echinocactus_platyacanthus	5	2	species
722776	Schlumbergera_rosea_x_Schlumbergera_gaertneri	5	2	species
1405379	Neobuxbaumia_mezcalaensis_x_Neobuxbaumia_macrocephala	5	2	species
1677734	Copiapoa_cinerea_x_Copiapoa_gigantea	5	2	species
867467	Opuntia_x_andersonii_H.M.Hern._Gomez-Hin._&_Barcenas	7	1	species
866908	Cylindropuntia_x_tetracantha	3	1	species
339161	Calandrinia_caespitosa_x_Calandrinia_compacta	5	2	species
339164	Montiopsis_capitata_x_Montiopsis_trifida	5	2	species
339162	Calyptridium_umbellatum_x_Calyptridium_monospermum	5	2	species
339163	Cistanthe_humilis_x_Calandrinia_oblongifolia	5	2	species
928645	Santalum_pyrularium_x_Santalum_involutum	5	2	species
470284	Santalum_lanceolatum_x_Santalum_leptocladum	5	2	species
667130	Astilbe_x_arendsii	3	1	species
667131	Astilbe_x_crispa	3	1	species
40728	Astilbe_japonica_x_Astilbe_chinensis	5	2	species
1541244	Saxifraga_x_cadevallii_Luizet_&_Soulie	6	1	species
1541245	Saxifraga_x_jeanpertii_Luizet	4	1	species
93339	Saxifraga_x_opdalensis	3	1	species
1123990	Paeonia_x_majko	3	1	species
1347767	Paeonia_x_lemoinei	3	1	species
1123989	Paeonia_x_litvinskajae_Morda_Punina_&_Timukhin	7	1	species
1123991	Paeonia_anomala_x_Paeonia_tenuifolia	5	2	species
1631872	Paeonia_ostii_x_Paeonia_suffruticosa	5	2	species
1609125	Paeonia_lutea_x_Paeonia_suffruticosa	5	2	species
1510390	Fothergilla_x_intermedia_Ranney_&_Fantz	6	1	species
1642405	Hamamelis_x_intermedia	3	1	species
332643	Aizopsis_x_pilosa_S.B.Gontch._&_Koldaeva_2007	7	1	species
80902	Kalanchoe_x_kewensis_Thiselton-Dyer	4	1	species
291584	Kalanchoe_x_houghtonii	3	1	species
111155	Aeonium_x_mascaense_Bramwell	4	1	species
208859	Myriophyllum_spicatum_x_Myriophyllum_sibiricum	5	2	species
438839	Myriophyllum_heterophyllum_x_Myriophyllum_laxum	5	2	species
366913	Cornus_canadensis_x_Cornus_suecica	5	2	species
860739	Hydrangea_hirta_x_Hydrangea_scandens	5	2	species
860738	Hydrangea_seemannii_x_Hydrangea_peruviana	5	2	species
2009265	x_Didrangea	2	0	genus
860742	x_Didrangea_versicolor_(Fortune)_J.M.H.Shaw_2014	6	0	species
1623347	Deutzia_x_lemoinei_Lemoine_ex_Bois	6	1	species
1616462	Philadelphus_x_lemoinei	3	1	species
758683	Lysimachia_glutinosa_x_Lysimachia_kalalauensis	5	2	species
758682	Lysimachia_filifolia_x_Lysimachia_glutinosa	5	2	species
993404	Cyclamen_persicum_x_Cyclamen_purpurascens	5	2	species
675086	Primula_poissonii_x_Primula_secundiflora	5	2	species
1104364	Primula_x_uzungolensis	3	1	species
184981	Primula_x_polyantha_Mill.	4	1	species
1494407	Primula_beesiana_x_Primula_bulleyana	5	2	species
1838040	Primula_latifolia_x_Primula_marginata	5	2	species
1125360	Impatiens_kilimanjari_x_Impatiens_pseudoviola	5	2	species
2487893	Impatiens_balfourii_x_Impatiens_parviflora	5	2	species
342005	Impatiens_usambarensis_x_Impatiens_walleriana	5	2	species
1676623	Sarracenia_psittacina_x_Sarracenia_purpurea	5	2	species
659589	Arctostaphylos_manzanita_x_Arctostaphylos_stanfordiana	5	2	species
659588	Arctostaphylos_x_repens_(J.T.Howell)_P.V.Wells	5	1	species
1610496	Rhododendron_kiusianum_x_Rhododendron_indicum	5	2	species
419384	Rhododendron_x_pulchrum	3	1	species
409320	Rhododendron_decorum_x_Rhododendron_delavayi	5	2	species
1080747	Rhododendron_x_fragrans	3	1	species
880877	Rhododendron_cyanocarpum_x_Rhododendron_delavayi	5	2	species
436877	Rhododendron_nakaharae_x_Rhododendron_indicum	5	2	species
683706	Erica_x_hiemalis_hort.	4	1	species
1643849	Erica_x_stuartii	3	1	species
2302846	Vaccinium_corymbosum_x_Vaccinium_angustifolium	5	2	species
934696	Vaccinium_angustifolium_x_Vaccinium_corymbosum	5	2	species
2078687	Vaccinium_corymbosum_x_Vaccinium_myrsinites	5	2	species
2078688	Vaccinium_myrsinites_x_Vaccinium_corymbosum	5	2	species
2302845	Vaccinium_corymbosum_x_Vaccinium_darrowii	5	2	species
1286240	Actinidia_rufa_x_Actinidia_chinensis	5	2	species
1286236	Actinidia_eriantha_x_Actinidia_chinensis	5	2	species
1286234	Actinidia_chinensis_x_Actinidia_arguta	5	2	species
1286238	Actinidia_fulvicoma_x_Actinidia_deliciosa	5	2	species
1286233	Actinidia_chinensis_x_Actinidia_eriantha	5	2	species
1286239	Actinidia_macrosperma_x_Actinidia_melanandra	5	2	species
1286235	Actinidia_deliciosa_x_Actinidia_arguta	5	2	species
1286237	Actinidia_fulvicoma_x_Actinidia_chinensis	5	2	species
155547	Stewartia_pseudocamellia_x_Stewartia_ovata_var._grandiflora	7	2	species
1916282	Camellia_azalea_x_Camellia_amplexicaulis	5	2	species
1001545	Ipomoea_x_sloteri	3	1	species
2518009	Ipomoea_x_leucantha	3	1	species
1172115	Ipomoea_batatas_x_Ipomoea_hederacea	5	2	species
485355	Ipomoea_coccinea_x_Ipomoea_quamoclit	5	2	species
1972074	Calystegia_hederacea_x_Calystegia_pubescens	5	2	species
207879	Cestrum_aurantiacum_x_Cestrum_parqui	5	2	species
1171611	Duboisia_leichhardtii_x_Duboisia_myoporoides	5	2	species
696922	Nicotiana_rustica_x_Nicotiana_plumbaginifolia	5	2	species
1926302	Nicotiana_x_edwardsonii_S.R.Christie_&_D.W.Hall_1979	7	1	species
200298	Nicotiana_x_sanderae_W.Watson	4	1	species
157071	Nicotiana_suaveolens_x_Nicotiana_tabacum	5	2	species
79230	Nicotiana_glauca_x_Nicotiana_langsdorffii	5	2	species
164110	Nicotiana_langsdorffii_x_Nicotiana_sanderae	5	2	species
32200	Nicotiana_tabacum_x_Nicotiana_bigelovii	5	2	species
936530	Capsicum_chinense_x_Capsicum_frutescens	5	2	species
713679	Capsicum_annuum_x_Capsicum_chinense	5	2	species
2023330	Capsicum_baccatum_var._baccatum_x_Capsicum_annuum_var._annuum	9	4	species
2023331	Capsicum_annuum_var._annuum_x_Capsicum_baccatum_var._baccatum	9	4	species
2023334	Capsicum_baccatum_var._baccatum_x_Capsicum_chinense	7	4	species
2023333	Capsicum_annuum_var._annuum_x_Capsicum_chinense	7	4	species
2023332	Capsicum_chinense_x_Capsicum_baccatum_var._baccatum	7	2	species
1050721	Capsicum_annuum_x_Capsicum_frutescens	5	2	species
2506110	Jaltomata_sinuosa_x_Jaltomata_umbellata	5	2	species
856884	Solanum_x_blanco-galdosii_Ochoa_1973	5	1	species
1928708	Solanum_spegazzinii_x_Solanum_gourlayi	5	2	species
1546022	Solanum_kurtzianum_x_Solanum_microdontum	5	2	species
162493	Solanum_arnezii_x_Solanum_hondelmannii	5	2	species
241759	Solanum_x_burbankii_Bitter	4	1	species
681985	Solanum_schenckii_x_Solanum_brachycarpum	5	2	species
681986	Solanum_capsicibaccatum_x_Solanum_circaeifolium	5	2	species
742160	Solanum_x_edinense_P.Berthault	4	1	species
1128164	Solanum_leptophyes_x_Solanum_sparsipilum	5	2	species
588599	Solanum_arcanum_x_Solanum_peruvianum	5	2	species
286530	Solanum_lycopersicum_x_Solanum_pimpinellifolium	5	2	species
95449	Solanum_lycopersicum_x_Solanum_peruvianum	5	2	species
298315	Solanum_lycopersicum_x_Solanum_tuberosum	5	2	species
872925	Solanum_lycopersicum_x_Solanum_pennellii	5	2	species
357543	Solanum_lycopersicum_x_Solanum_habrochaites	5	2	species
588597	Solanum_huaylasense_x_Solanum_peruvianum	5	2	species
1202430	Solanum_acaule_x_Solanum_commersonii	5	2	species
136614	Solanum_x_juzepczukii	3	1	species
378788	Solanum_sparsipilum_x_Solanum_tuberosum	5	2	species
2490912	Solanum_stoloniferum_x_Solanum_tuberosum	5	2	species
176296	Solanum_berthaultii_x_Solanum_tuberosum	5	2	species
746542	Solanum_incanum_x_Solanum_melongena	5	2	species
856986	Solanum_x_sambucinum_Rydb.	4	1	species
2654275	Solanum_melongena_x_Solanum_linnaeanum	5	2	species
1017323	Solanum_chacoense_x_Solanum_tuberosum	5	2	species
1872692	Solanum_asymmetriphyllum_x_Solanum_sejunctum	5	2	species
245159	Solanum_commersonii_x_Solanum_tuberosum	5	2	species
188760	Solanum_phureja_x_Solanum_tuberosum	5	2	species
176295	Solanum_phureja_x_Solanum_stenotomum	5	2	species
1928653	Withania_somnifera_x_Withania_sp._'ashwagandha'	6	2	species
1830226	Acnistus_x_Iochroma	3	1	genus
1830227	Acnistus_arborescens_x_Iochroma_cyaneum	5	2	species
2570241	Physalis_x_elliottii_Kunze_1847	5	1	species
512269	Brugmansia_x_candida	3	1	species
258528	Schizanthus_x_wisetonensis	3	1	species
2570376	Petunia_exserta_x_Petunia_axillaris_subsp._parodii	7	2	species
56025	Petunia_x_hybrida_x_Petunia_axillaris_subsp._parodii	8	1	species
2315833	Petunia_axillaris_x_Petunia_integrifolia_subsp._inflata	7	2	species
4102	Petunia_x_hybrida	3	1	species
2570377	Petunia_axillaris_x_Petunia_axillaris_subsp._parodii	7	2	species
2290741	Petunia_axillaris_x_Petunia_secreta	5	2	species
1765064	Petunia_axillaris_x_Petunia_x_hybrida	6	2	species
361459	Petunia_axillaris_x_Petunia_exserta	5	2	species
659877	Asclepias_albicans_x_Asclepias_subulata	5	2	species
1549868	Asclepias_speciosa_x_Asclepias_syriaca	5	2	species
2597732	Hoya_wayetii_x_Hoya_tsangii	5	2	species
2597722	Hoya_celata_x_Hoya_pubicalyx	5	2	species
1884439	Mandevilla_x_amabilis	3	1	species
2042953	Mandevilla_pentlandiana_x_Mandevilla_laxa	5	2	species
2599593	Centaurium_erythraea_x_Centaurium_littorale_subsp._compressum	7	2	species
321348	Centaurium_erythraea_x_Centaurium_littorale	5	2	species
242215	Gentianella_amarella_x_Gentianella_bohemica	5	2	species
553008	(Gentiana_lawrencei_x_Gentiana_veitchiorum)_x_Gentiana_sp.	8	2	species
553039	Gentiana_hexaphylla_x_Gentiana_lawrencei	5	2	species
553040	Gentiana_scabra_x_Gentiana_triflora	5	2	species
553041	Gentiana_sino-ornata_x_Gentiana_veitchiorum	5	2	species
384645	Gentiana_straminea_x_Gentiana_siphonantha	5	2	species
512495	Macrocarpaea_x_mattii	3	1	species
1054344	Coprosma_x_cunninghamii_Hook.f.	4	1	species
1538413	Asperula_x_jordanii	3	1	species
1538414	Asperula_x_portae	3	1	species
2495895	Galium_prattii_x_Galium_blinii	5	2	species
2495896	Galium_bungei_x_Galium_yunnanense	5	2	species
1671048	Galium_x_centroniae	3	1	species
43502	Hoffmannia_refulgens_x_Hoffmannia_ghiesbreghtii	5	2	species
1306199	Mussaenda_pubescens_var._alba_x_Mussaenda_shikokiana	7	4	species
1306198	Mussaenda_shikokiana_x_Mussaenda_pubescens_var._alba	7	2	species
232092	Coffea_arabica_x_Coffea_canephora	5	2	species
413830	Coffea_arabica_x_Coffea_liberica	5	2	species
213309	Coffea_congensis_x_Coffea_canephora	5	2	species
1165098	(Coffea_congensis_x_Coffea_canephora)_x_Coffea_canephora	8	2	species
1565470	Coffea_canephora_x_Coffea_eugenioides	5	2	species
1565469	Coffea_eugenioides_x_Coffea_canephora	5	2	species
84786	Luculia_gratissima_x_Luculia_tsetensis	5	2	species
384041	x_Chitalpa	2	0	genus
384042	x_Chitalpa_tashkentensis_T.S.Elias_&_Wisura	6	0	species
76714	Glandularia_x_hybrida	3	1	species
925324	Lantana_x_entrerriensis_Tronc.	4	1	species
2201188	Kohleria_x_lucianii	3	1	species
2594531	Sinningia_muscicola_x_Sinningia_bullata	5	2	species
2594530	Sinningia_concinna_x_Sinningia_sellovii	5	2	species
2594532	Sinningia_leucotricha_x_Sinningia_iarae	5	2	species
2594533	Sinningia_bullata_x_Sinningia_conspicua	5	2	species
2594488	Sinningia_x_Paliavana	3	1	genus
2594539	Paliavana_sp._x_Sinningia_gerdtiana	5	2	species
2594489	Sinningia_conspicua_x_Paliavana_tenuiflora	5	2	species
2204158	Primulina_depressa_x_Primulina_danxiaensis	5	2	species
2567874	Cyrtandra_longifolia_x_Cyrtandra_kauaiensis	5	2	species
2567873	Cyrtandra_hawaiensis_x_Cyrtandra_grayana	5	2	species
1346743	Cyrtandra_calpidicarpa_x_Cyrtandra_hawaiensis	5	2	species
1073815	Streptocarpus_x_hybridus_Voss	4	1	species
1937021	Cistanche_phelypaea_x_Cistanche_violacea	5	2	species
2203459	Euphrasia_tetraquetra_x_Euphrasia_vigursii	5	2	species
2203455	Euphrasia_foulaensis_x_Euphrasia_ostenfeldii	5	2	species
2203454	Euphrasia_foulaensis_x_Euphrasia_nemorosa	5	2	species
2203449	Euphrasia_arctica_x_Euphrasia_micrantha	5	2	species
2203452	Euphrasia_confusa_x_Euphrasia_micrantha	5	2	species
2203458	Euphrasia_micrantha_x_Euphrasia_scottica	5	2	species
2203453	Euphrasia_foulaensis_x_Euphrasia_marshallii	5	2	species
2203457	Euphrasia_micrantha_x_Euphrasia_nemorosa	5	2	species
2203451	Euphrasia_arctica_x_Euphrasia_rostkoviana	5	2	species
2203448	Euphrasia_arctica_x_Euphrasia_foulaensis	5	2	species
2203450	Euphrasia_arctica_x_Euphrasia_nemorosa	5	2	species
2203447	Euphrasia_arctica_x_Euphrasia_confusa	5	2	species
2203456	Euphrasia_marshallii_x_Euphrasia_micrantha	5	2	species
270953	Diplacus_x_australis	3	1	species
2494553	Erythranthe_pardalis_x_Erythranthe_guttata	5	2	species
2065111	Erythranthe_guttata_x_Erythranthe_nasuta	5	2	species
51965	Erythranthe_lutea_x_Erythranthe_guttata	5	2	species
1238159	Avicennia_marina_x_Avicennia_rumphiana	5	2	species
1549863	Ruellia_caroliniensis_x_Ruellia_simplex	5	2	species
2307032	Petalidium_halimoides_x_Petalidium_variabile	5	2	species
1749400	x_Ruttyruspolia	2	0	genus
1749402	x_Ruttyruspolia_sp._BKF189461	4	0	species
55183	Forsythia_x_intermedia	3	1	species
329228	Syringa_x_chinensis	3	1	species
150403	Syringa_microphylla_x_Syringa_meyeri	5	2	species
426076	Osmanthus_x_fortunei	3	1	species
1399548	Fraxinus_angustifolia_x_Fraxinus_excelsior	5	2	species
370809	Olea_europaea_subsp._europaea_x_O._europaea_subsp._cuspidata	9	4	subspecies
1723383	Ligustrum_x_ibolium_Coe_ex_Rehder	6	1	species
1133299	Ligustrum_x_vicaryi_Rehder	4	1	species
2590584	Callitriche_cophocarpa_x_Callitriche_platycarpa	5	2	species
1892313	Callitriche_x_vigens_K.Martinsson	4	1	species
2590583	Callitriche_cophocarpa_x_Callitriche_hamulata	5	2	species
2590742	Callitriche_brutia_subsp._brutia_x_Callitriche_brutia_var._naftolskyi	9	4	species
2590585	Callitriche_cophocarpa_x_Callitriche_stagnalis	5	2	species
1123938	Ourisia_macrocarpa_x_Ourisia_sessilifolia	5	2	species
1123937	Ourisia_caespitosa_x_Ourisia_sessilifolia	5	2	species
1123943	Ourisia_sessilifolia_x_Ourisia_confertifolia	5	2	species
1123944	Ourisia_sessilifolia_x_Ourisia_remotifolia	5	2	species
1123942	Ourisia_remotifolia_x_Ourisia_sessilifolia	5	2	species
1123934	Ourisia_caespitosa_x_Ourisia_calycina	5	2	species
1123935	Ourisia_caespitosa_x_Ourisia_macrocarpa	5	2	species
1123936	Ourisia_caespitosa_x_Ourisia_macrophylla_subsp._lactea	7	2	species
193565	Aragoa_x_funzana_Fern.Alonso	4	1	species
193566	Aragoa_x_chingacensis_Fern.Alonso	4	1	species
1748261	Veronica_jacquinii_x_Veronica_orbiculata	5	2	species
1567057	Veronica_x_lackschewitzii_J.Keller	4	1	species
1461178	Veronica_x_czemalensis_Kosachev_&_Albach	6	1	species
1461179	Veronica_x_grisea_Kosachev_&_A.L.Ebel_2010	7	1	species
1461183	Veronica_x_sessiliflora_Bunge	4	1	species
1461181	Veronica_x_sapozhnikovii	3	1	species
1461180	Veronica_x_kolyvanensis_Kosachev_&_Schmakov	6	1	species
1461177	Veronica_x_altaica	3	1	species
1461182	Veronica_x_schmakovii	3	1	species
581116	Veronica_chathamica_x_Veronica_dieffenbachii	5	2	species
508209	Veronica_pulvinaris_x_Veronica_hookeri	5	2	species
508211	Veronica_chionohebe_x_Veronica_trifida	5	2	species
1338328	Wulfenia_x_schwarzii	3	1	species
51610	Antirrhinum_majus_x_Antirrhinum_hispanicum	5	2	species
1072966	Antirrhinum_majus_x_Antirrhinum_molle	5	2	species
119601	Hippuris_x_lanceolata	3	1	species
450935	Limnophila_x_ludoviciana	3	1	species
54236	Caryopteris_x_clandonensis_A.Simmonds_ex_C.H.Curtis	6	1	species
1081530	Ajuga_x_mixta	3	1	species
1196215	Lavandula_x_intermedia	3	1	species
1441365	Lavandula_x_heterophylla	3	1	species
752254	Ocimum_bascilicum_x_Ocimum_gratissimum	5	2	species
1161400	Plectranthus_hilliardiae_x_Plectranthus_saccatus	5	2	species
39348	Nepeta_x_faassenii	3	1	species
1945646	Micromeria_lepida_x_Micromeria_pedro-luisii	5	2	species
29719	Mentha_x_villosa_var._cordifolia_(Opiz_ex_Fresen.)_Lebeau	9	1	species
1164940	Mentha_x_maximilianea	3	1	species
301896	Mentha_x_smithiana_R.A.Graham	4	1	species
424577	Mentha_x_villosa_Huds._1778	5	1	species
34256	Mentha_x_piperita	3	1	species
1164941	Mentha_x_verticillata	3	1	species
1164938	Mentha_x_dalmatica_Tausch	4	1	species
241069	Mentha_x_gracilis	3	1	species
1164939	Mentha_x_dumetorum	3	1	species
54461	Mentha_x_rotundifolia_(L.)_Huds.	5	1	species
1200505	Salvia_x_jamensis	3	1	species
588963	Salvia_x_superba_Stapf	4	1	species
1520123	Salvia_albicaulis_x_Salvia_granitica	5	2	species
1520007	Salvia_lanceolata_x_Salvia_africana	5	2	species
1933694	Salvia_suffruticosa_x_Salvia_bracteata	5	2	species
707364	Salvia_x_sakuensis_Naruh._&_Hihara	6	1	species
268931	Salvia_x_sylvestris	3	1	species
204230	Thymus_x_citriodorus_(Pers.)_Schreb.	5	1	species
1268208	Origanum_x_adanense	3	1	species
2570565	Origanum_x_sevcaniae	3	1	species
2306949	Origanum_x_adae	3	1	species
2570566	Origanum_x_malyeri_Dirmenci_&_Yazici_2018	7	1	species
1384207	Origanum_x_majoricum	3	1	species
1268209	Origanum_syriacum_x_Origanum_laevigatum	5	2	species
316272	Phlomis_x_margaritae	3	1	species
1679930	Phlomis_x_commixta_Rech.f.	4	1	species
997685	Phlomis_crinita_x_Phlomis_lychnitis	5	2	species
997689	Phlomis_x_trullenquei_Pau	4	1	species
1679932	Phlomis_x_sieberi_Vierh.	4	1	species
1679931	Phlomis_x_cytherea	3	1	species
997687	Phlomis_x_almijarensis	3	1	species
997686	Phlomis_lychnitis_x_Phlomis_purpurea	5	2	species
997688	Phlomis_x_termessi	3	1	species
1080033	Lamium_x_holsaticum_Prahl	4	1	species
2291679	Marrubium_x_bastetanum_Coincy_1896	5	1	species
1030014	Galeopsis_bifida_x_Galeopsis_tetrahit	5	2	species
1030015	Galeopsis_bifida_x_Galeopsis_pubescens	5	2	species
141807	Phyllostegia_glabra_x_grandiflora	4	2	species
168487	Buddleja_x_weyeriana_Weyer	4	1	species
2520619	Verbascum_x_kerneri	3	1	species
1441387	Paulownia_tomentosa_x_Paulownia_fortunei	5	2	species
1274660	Paulownia_fortunei_x_Paulownia_tomentosa	5	2	species
1037325	Lithospermum_incisum_x_Lithospermum_mirabile	5	2	species
2650416	Onosma_x_bornmuelleri	3	1	species
1344464	Onosma_arenaria_x_Onosma_echioides	5	2	species
192328	Symphytum_x_uplandicum	3	1	species
1778332	Pulmonaria_mollis_x_Pulmonaria_obscura	5	2	species
